category,name,price,description,images,quantity
clothes,BlueViolet Jacket,82,Cost against police back fast enough student toward ten magazine.,https://example.com/images/jacket.jpg,355
clothes,DarkOrchid Sweater,310,Health need middle many break create plant education board home billion forget.,https://example.com/images/sweater.jpg,38
food,LightSalmon Coffee,350,True traditional discussion our though attorney picture north matter score wonder allow century realize large.,https://example.com/images/coffee.jpg,286
appliances,Gold Toaster,142,Tell career value official everything conference machine site.,https://example.com/images/toaster.jpg,206
appliances,Khaki Washing Machine,154,Economic remember reflect soldier front recognize article range letter hotel full ready executive.,https://example.com/images/washing_machine.jpg,94
appliances,Olive Washing Machine,57,Party property give not allow claim future dinner let be nature shoulder letter event treat.,https://example.com/images/washing_machine.jpg,459
home,Wheat Sofa,72,Tv employee action eat indicate peace important mention.,https://example.com/images/sofa.jpg,346
food,DimGray Pasta,363,Of prove alone door provide room necessary particular war miss range campaign.,https://example.com/images/pasta.jpg,344
clothes,LightBlue T-Shirt,190,Hard so management care might candidate loss.,https://example.com/images/t-shirt.jpg,119
appliances,OrangeRed Washing Machine,299,Outside show stuff image for kid learn.,https://example.com/images/washing_machine.jpg,353
home,LightCyan Wall Art,396,Speak wind away front discuss risk sit church save behind loss book them knowledge issue.,https://example.com/images/wall_art.jpg,190
appliances,SpringGreen Refrigerator,456,Picture save decide medical family leader add simply not hand present century make home.,https://example.com/images/refrigerator.jpg,108
clothes,DimGray T-Shirt,216,Amount assume program against us record artist today wait person.,https://example.com/images/t-shirt.jpg,291
appliances,LightSalmon Refrigerator,441,Picture choice different least create might left guy old fight least us firm item investment.,https://example.com/images/refrigerator.jpg,460
home,Aquamarine Wall Art,78,Agent face agency analysis might TV herself answer we.,https://example.com/images/wall_art.jpg,120
clothes,Peru Jeans,323,Side soon control reduce cover yet teach.,https://example.com/images/jeans.jpg,230
home,Gainsboro Curtain,111,Score may real question magazine site local might impact similar ready Republican rest fight.,https://example.com/images/curtain.jpg,200
appliances,LightGray Microwave,446,Sign serve practice list give defense no whether including return major against position far attorney.,https://example.com/images/microwave.jpg,6
appliances,Orchid Toaster,459,Election government center agent happy treat security pass everybody side leader former yourself treat mind different.,https://example.com/images/toaster.jpg,81
clothes,MidnightBlue Jacket,52,Couple purpose crime heavy impact wonder hold buy impact determine.,https://example.com/images/jacket.jpg,271
home,ForestGreen Lamp,443,Type community threat never onto individual central make general tend book plant new between accept.,https://example.com/images/lamp.jpg,247
clothes,PaleGreen T-Shirt,181,Land who maintain particularly analysis anything not with.,https://example.com/images/t-shirt.jpg,352
food,OrangeRed Tea,83,True decade center continue go necessary onto fish perform want.,https://example.com/images/tea.jpg,292
appliances,MediumSlateBlue Blender,22,Near traditional three real real mother force.,https://example.com/images/blender.jpg,424
appliances,Teal Microwave,475,Art follow yet civil apply policy cold central always against plan.,https://example.com/images/microwave.jpg,36
appliances,SaddleBrown Blender,89,Effort close action woman represent nearly law statement serious pass sell.,https://example.com/images/blender.jpg,494
food,SlateBlue Coffee,254,Level begin type simply important far visit father very recent garden any ability probably rate style.,https://example.com/images/coffee.jpg,101
clothes,DarkViolet T-Shirt,173,Measure red official public but investment ball message way similar idea again society drug six.,https://example.com/images/t-shirt.jpg,442
appliances,SaddleBrown Washing Machine,473,Decade myself education describe near add concern college popular wonder huge both.,https://example.com/images/washing_machine.jpg,430
clothes,PaleTurquoise Sweater,402,Region land may course lose since order save make box.,https://example.com/images/sweater.jpg,406
food,HotPink Coffee,106,Off clear appear how item region finish family force good international manager stock least.,https://example.com/images/coffee.jpg,75
home,LightBlue Wall Art,309,Baby operation effect participant news theory whatever ten.,https://example.com/images/wall_art.jpg,6
food,Maroon Tea,381,Candidate class certain drop foreign kitchen bit certainly unit space successful some although adult explain cost.,https://example.com/images/tea.jpg,147
home,Aqua Wall Art,285,Heart food couple particularly small those rise practice happy range few money white.,https://example.com/images/wall_art.jpg,233
appliances,BurlyWood Washing Machine,19,Scientist travel involve boy common increase car already assume.,https://example.com/images/washing_machine.jpg,283
food,LightSteelBlue Pasta,267,Third add offer language hotel enter open mean blue least piece yourself.,https://example.com/images/pasta.jpg,343
food,LemonChiffon Rice,454,How best what cover chance us system life place agree hot serious product so.,https://example.com/images/rice.jpg,388
home,DarkBlue Curtain,262,Theory common rich organization watch meet seek full model.,https://example.com/images/curtain.jpg,358
appliances,SteelBlue Washing Machine,185,Matter hotel such hour civil increase he any nothing scientist speak really.,https://example.com/images/washing_machine.jpg,99
home,DimGray Lamp,246,Apply rich medical buy design see speak market every.,https://example.com/images/lamp.jpg,323
home,OrangeRed Lamp,8,Senior avoid team born particularly send two majority popular send.,https://example.com/images/lamp.jpg,396
appliances,IndianRed Blender,133,Final person gas last memory often discussion tend worker front travel both hope bank.,https://example.com/images/blender.jpg,486
clothes,SpringGreen Jacket,453,Trouble nearly right capital increase civil program major price fast protect fill knowledge however of history.,https://example.com/images/jacket.jpg,463
home,SeaShell Wall Art,128,Owner collection onto ready fly reach degree ready color commercial dream.,https://example.com/images/wall_art.jpg,321
